Trimestre;UnempRate;Order
T1 2002;7.5;1
T2 2002;7.5;2
T3 2002;7.5;3
T4 2002;7.6;4
T1 2003;8;5
T2 2003;8.1;6
T3 2003;8;7
T4 2003;8.4;8
T1 2004;8.6;9
T2 2004;8.4;10
T3 2004;8.5;11
T4 2004;8.5;12
T1 2005;8.3;13
T2 2005;8.4;14
T3 2005;8.6;15
T4 2005;8.7;16
T1 2006;8.8;17
T2 2006;8.6;18
T3 2006;8.5;19
T4 2006;8;20
T1 2007;8.1;21
T2 2007;7.8;22
T3 2007;7.7;23
T4 2007;7.1;24
T1 2008;6.8;25
T2 2008;7;26
T3 2008;7.1;27
T4 2008;7.4;28
T1 2009;8.2;29
T2 2009;8.8;30
T3 2009;8.8;31
T4 2009;9.1;32
T1 2010;9;33
T2 2010;8.9;34
T3 2010;8.8;35
T4 2010;8.8;36
T1 2011;8.7;37
T2 2011;8.6;38
T3 2011;8.8;39
T4 2011;8.9;40
T1 2012;9.1;41
T2 2012;9.3;42
T3 2012;9.4;43
T4 2012;9.7;44
